date,sector,open,high,low,close
2020-10-15,Oil And Gas,12311.28,12383.9,11719.16,11755.19
2020-10-31,Oil And Gas,11804.84,12323.7,11773.32,12126.12
2020-11-15,Oil And Gas,12174.84,13177.59,11728.82,13148.45
2020-11-30,Oil And Gas,13296.05,13537.43,12818.83,13251.24
2020-12-15,Oil And Gas,13368.05,14789.63,13266.97,14569.19
2020-12-31,Oil And Gas,14686.79,14776.22,13183.09,14090.07
2021-01-15,Oil And Gas,14160.63,15434.55,14097.48,14955.78
2021-01-31,Oil And Gas,14993.26,15092.14,13757.94,13811.98
2021-02-15,Oil And Gas,13885.08,15083.64,13861.55,14757.56
2021-02-28,Oil And Gas,14769.69,16211.21,14769.69,15543.42
2021-03-15,Oil And Gas,15851.79,16588.3,15591.13,15779.91
2021-03-31,Oil And Gas,15831.84,15881.04,14506.45,14820.46
2021-04-15,Oil And Gas,14912.38,15113.23,14216.01,14699.7
2021-04-30,Oil And Gas,14726.37,15324.24,14255.11,14995.68
2021-05-15,Oil And Gas,14875.72,16215.65,14779.23,15583.33
2021-05-31,Oil And Gas,15655.13,16509.59,15517.82,16472.31
2021-06-15,Oil And Gas,16537.6,17482.94,16502.71,17271.11
2021-06-30,Oil And Gas,17352.69,17412.69,16155.54,16175.51
2021-07-15,Oil And Gas,16151.76,16310.63,15617.15,15650.93
2021-07-31,Oil And Gas,15652.16,15848.0,15337.14,15441.74
2021-08-15,Oil And Gas,15530.92,15954.46,15337.14,15750.7
2021-08-31,Oil And Gas,15825.54,17102.82,15694.18,17083.96
2021-09-15,Oil And Gas,17259.78,17811.29,17027.68,17732.14
2021-09-30,Oil And Gas,17593.53,18413.93,17216.92,18301.57
2021-10-15,Oil And Gas,18327.32,19362.52,18259.63,19216.73
2021-10-31,Oil And Gas,19425.59,19552.35,17933.56,18142.94
2021-11-15,Oil And Gas,18327.47,19358.19,18135.85,19118.64
2021-11-30,Oil And Gas,19160.56,19172.03,17339.58,17502.48
2021-12-15,Oil And Gas,17626.56,18590.49,17464.85,18089.3
2021-12-31,Oil And Gas,18283.73,18291.99,16919.34,17508.03
2022-01-15,Oil And Gas,17512.4,18984.02,17491.1,18873.11
2022-01-31,Oil And Gas,18994.37,19125.89,17801.72,18672.22
2022-02-15,Oil And Gas,18818.79,18818.79,17532.74,18026.34
2022-02-28,Oil And Gas,18111.06,18349.6,16528.83,17315.45
2022-03-15,Oil And Gas,17382.81,18128.16,17248.77,17487.29
2022-03-31,Oil And Gas,17679.71,19058.52,17552.34,18741.19
2022-04-15,Oil And Gas,18897.77,20319.45,18839.08,19909.65
2022-04-30,Oil And Gas,19872.48,20462.21,19374.52,19497.83
2022-05-15,Oil And Gas,19458.72,19796.9,18130.91,18471.32
2022-05-31,Oil And Gas,18529.43,19301.78,17932.92,18606.99
2022-06-15,Oil And Gas,18643.87,19397.16,18039.58,18085.32
2022-06-30,Oil And Gas,18170.49,18325.89,16378.92,18021.93
2022-07-15,Oil And Gas,18009.06,18150.1,17205.14,18058.33
2022-07-31,Oil And Gas,18137.93,19057.26,18112.94,18999.02
2022-08-15,Oil And Gas,19062.87,19800.24,18921.35,19772.86
2022-08-31,Oil And Gas,19885.64,20387.85,19196.39,20289.83
2022-09-15,Oil And Gas,20034.95,20277.62,19632.11,19904.58
2022-09-30,Oil And Gas,19874.99,19880.98,18335.64,18559.11
2022-10-15,Oil And Gas,18741.17,18909.09,18021.91,18081.19
2022-10-31,Oil And Gas,18023.41,19547.97,17823.88,19487.91
2022-11-15,Oil And Gas,19538.23,20189.88,19359.41,20164.11
2022-11-30,Oil And Gas,20175.27,20653.57,19457.99,20610.0
2022-12-15,Oil And Gas,20663.57,20806.73,20204.78,20632.25
2022-12-31,Oil And Gas,20613.74,20830.43,19124.69,20409.11
2023-01-15,Oil And Gas,20468.29,20837.79,20159.52,20619.45
2023-01-31,Oil And Gas,20657.79,21198.44,18496.66,18522.05
2023-02-15,Oil And Gas,18340.41,18489.52,17309.52,17502.43
2023-02-28,Oil And Gas,17523.34,17731.91,16878.73,16915.04
2023-03-15,Oil And Gas,16884.36,17863.15,16877.67,17382.33
2023-03-31,Oil And Gas,17366.52,17728.08,17063.45,17383.4
2023-04-15,Oil And Gas,17405.54,17863.45,17194.45,17707.95
2023-04-30,Oil And Gas,17789.95,18292.27,17679.14,18271.28
2023-05-15,Oil And Gas,18305.46,18688.11,18192.25,18380.26
2023-05-31,Oil And Gas,18450.33,18527.28,17785.48,17972.15
2023-06-15,Oil And Gas,17968.0,18404.94,17771.75,18361.24
2023-06-30,Oil And Gas,18389.7,18434.3,17847.44,18209.8
2023-07-15,Oil And Gas,18264.81,19363.82,18264.81,19064.63
2023-07-31,Oil And Gas,19031.01,19637.19,19031.01,19424.13
2023-08-15,Oil And Gas,19446.64,19512.5,18838.39,18982.98
2023-08-31,Oil And Gas,18877.05,19063.01,18390.85,18446.17
2023-09-15,Oil And Gas,18475.21,19697.64,18459.5,19259.72
2023-09-30,Oil And Gas,19227.05,19329.65,18726.39,19025.66
2023-10-15,Oil And Gas,19006.79,19070.63,18402.53,18947.49
2023-10-31,Oil And Gas,18992.24,19230.34,17770.12,18233.06
2023-11-15,Oil And Gas,18343.29,19594.23,18252.61,19548.37
2023-11-30,Oil And Gas,19650.28,20588.39,19251.92,20550.97
2023-12-15,Oil And Gas,20728.29,22739.0,20577.91,22338.61
2023-12-31,Oil And Gas,22418.17,23368.04,21574.57,23021.23
2024-01-15,Oil And Gas,23248.11,24669.6,22868.05,24637.71
2024-01-31,Oil And Gas,24678.81,26596.5,24068.08,25915.86
2024-02-15,Oil And Gas,26184.79,29258.59,25702.37,29117.62
2024-02-29,Oil And Gas,29040.45,29259.74,27434.47,27664.64
2024-03-15,Oil And Gas,27900.56,29149.26,26045.01,26886.33
2024-03-31,Oil And Gas,26809.33,27889.88,26321.18,27644.48
2024-04-15,Oil And Gas,27774.29,28775.46,27339.52,28358.64
2024-04-30,Oil And Gas,28206.13,29520.16,27740.26,28980.58
2024-05-15,Oil And Gas,29214.32,29690.75,27057.82,28415.89
2024-05-31,Oil And Gas,28663.26,29783.56,28176.69,28639.87
2024-06-15,Oil And Gas,30092.77,30952.96,25671.31,29611.27
2024-06-30,Oil And Gas,29927.66,29927.66,28400.35,29473.4
2024-07-15,Oil And Gas,29579.76,31770.59,29429.26,31734.07
2024-07-31,Oil And Gas,31847.69,32953.97,29300.0,32563.42
2024-08-15,Oil And Gas,32746.55,32912.55,30713.02,31407.41
2024-08-31,Oil And Gas,31645.7,33282.92,31548.21,32978.1
2024-09-15,Oil And Gas,33138.89,33309.54,30257.88,30691.29
2024-09-30,Oil And Gas,30852.78,32136.2,29595.28,31835.31
2024-10-15,Oil And Gas,31827.56,32035.4,29104.68,30131.04
2024-10-31,Oil And Gas,30193.56,30437.63,27091.71,27457.79
2024-11-15,Oil And Gas,27674.52,28223.76,26066.28,26201.33
2024-11-30,Oil And Gas,26114.27,26998.75,24950.78,26812.75
2024-12-15,Oil And Gas,26812.26,27401.93,26563.67,27081.39
2024-12-31,Oil And Gas,27055.8,27137.68,25617.81,26064.59
2025-01-15,Oil And Gas,26056.97,27095.13,25003.14,25552.3
2025-01-31,Oil And Gas,25849.0,26586.88,24171.55,25428.97
2025-02-15,Oil And Gas,25438.49,25631.57,23082.97,23352.42
2025-02-28,Oil And Gas,23266.22,24347.7,22518.12,22573.53
2020-01-15,Power,1932.87,1996.06,1905.36,1990.79
2020-01-31,Power,2000.29,2057.4,1892.31,1899.25
2020-02-15,Power,1894.93,1930.27,1810.39,1851.73
2020-02-29,Power,1851.5,1857.5,1706.49,1716.78
2020-03-15,Power,1746.28,1787.07,1340.57,1551.15
2020-03-31,Power,1538.46,1538.46,1275.07,1377.95
2020-04-15,Power,1384.67,1489.8,1327.78,1440.9
2020-04-30,Power,1436.18,1547.63,1422.67,1490.51
2020-05-15,Power,1469.72,1498.36,1388.68,1443.62
2020-05-31,Power,1450.03,1486.92,1394.46,1481.53
2020-06-15,Power,1502.06,1599.48,1494.58,1509.16
2020-06-30,Power,1527.26,1677.83,1478.12,1574.86
2020-07-15,Power,1561.96,1641.17,1513.86,1516.46
2020-07-31,Power,1524.38,1582.19,1488.42,1538.93
2020-08-15,Power,1536.66,1602.86,1521.91,1578.11
2020-08-31,Power,1594.34,1766.25,1588.68,1669.87
2020-09-15,Power,1676.47,1752.11,1644.33,1723.16
2020-09-30,Power,1745.64,1745.64,1571.07,1652.97
2020-10-15,Power,1664.24,1680.84,1587.86,1592.09
2020-10-31,Power,1601.98,1739.6,1595.62,1729.35
2020-11-15,Power,1744.11,1885.7,1718.72,1878.36
2020-11-30,Power,1884.81,2023.05,1882.0,1999.37
2020-12-15,Power,2016.09,2111.79,1994.3,2080.94
2020-12-31,Power,2091.31,2103.92,1950.91,2062.13
2021-01-15,Power,2061.77,2163.2,2061.77,2114.24
2021-01-31,Power,2110.97,2152.45,2000.08,2004.65
2021-02-15,Power,2018.05,2284.77,1996.31,2264.5
2021-02-28,Power,2282.63,2481.93,2267.81,2418.77
2021-03-15,Power,2454.66,2582.9,2438.3,2538.86
2021-03-31,Power,2550.72,2591.87,2390.91,2475.13
2021-04-15,Power,2489.3,2593.75,2339.05,2421.41
2021-04-30,Power,2435.32,2524.07,2356.82,2481.15
2021-05-15,Power,2456.28,2718.46,2445.25,2643.11
2021-05-31,Power,2654.28,2919.65,2644.97,2816.44
2021-06-15,Power,2828.64,3083.79,2804.09,2949.34
2021-06-30,Power,2925.93,2928.53,2696.75,2755.48
2021-07-15,Power,2758.28,2758.28,2641.65,2707.68
2021-07-31,Power,2719.44,2736.01,2575.44,2616.52
2021-08-15,Power,2624.99,2725.81,2582.54,2710.67
2021-08-31,Power,2707.05,2930.13,2649.63,2921.29
2021-09-15,Power,2954.2,3146.19,2909.68,3133.14
2021-09-30,Power,3142.21,3211.34,2984.3,3198.73
2021-10-15,Power,3203.82,3533.26,3167.03,3514.86
2021-10-31,Power,3574.97,3675.09,3226.78,3337.7
2021-11-15,Power,3336.3,3594.49,3327.11,3564.39
2021-11-30,Power,3578.65,3675.37,3406.0,3456.56
2021-12-15,Power,3445.15,3678.89,3406.32,3619.14
2021-12-31,Power,3658.57,3658.57,3401.97,3481.71
2022-01-15,Power,3504.6,3859.03,3490.94,3846.99
2022-01-31,Power,3854.52,3995.86,3748.3,3937.46
2022-02-15,Power,3983.04,4013.13,3680.49,3821.77
2022-02-28,Power,3827.41,3936.7,3610.79,3854.35
2022-03-15,Power,3805.15,4016.42,3779.3,3839.45
2022-03-31,Power,3891.47,4126.02,3874.14,4043.63
2022-04-15,Power,4065.38,4923.43,4062.9,4781.94
2022-04-30,Power,4779.67,4961.37,4648.24,4775.51
2022-05-15,Power,4760.19,4871.56,4151.07,4215.14
2022-05-31,Power,4239.14,4487.78,4092.37,4226.34
2022-06-15,Power,4176.17,4241.52,3979.32,3987.94
2022-06-30,Power,4038.09,4100.83,3720.96,4067.0
2022-07-15,Power,4078.95,4497.38,3989.02,4390.23
2022-07-31,Power,4433.39,4592.33,4415.42,4556.28
2022-08-15,Power,4583.68,4865.09,4561.89,4858.04
2022-08-31,Power,4872.88,5249.56,4872.88,5227.96
2022-09-15,Power,5198.14,5338.9,5082.47,5329.57
2022-09-30,Power,5320.17,5352.94,4609.42,4748.88
2022-10-15,Power,4747.24,4802.28,4521.21,4603.12
2022-10-31,Power,4585.78,4882.23,4563.09,4866.96
2022-11-15,Power,4873.03,4988.04,4806.42,4846.03
2022-11-30,Power,4831.0,4846.68,4568.15,4698.99
2022-12-15,Power,4728.81,4743.11,4495.09,4546.84
2022-12-31,Power,4518.32,4556.5,4073.94,4381.29
2023-01-15,Power,4392.29,4437.62,4277.89,4428.55
2023-01-31,Power,4436.78,4560.64,3761.75,3906.54
2023-02-15,Power,3974.69,3977.62,3390.43,3407.14
2023-02-28,Power,3405.1,3452.76,3235.62,3296.34
2023-03-15,Power,3302.27,3636.18,3302.27,3587.0
2023-03-31,Power,3593.99,3715.86,3516.99,3605.8
2023-04-15,Power,3617.25,3715.74,3547.4,3654.12
2023-04-30,Power,3665.44,3753.27,3594.96,3743.87
2023-05-15,Power,3772.83,3876.42,3768.91,3796.66
2023-05-31,Power,3792.01,3871.51,3675.73,3819.3
2023-06-15,Power,3830.16,4006.51,3807.41,3986.71
2023-06-30,Power,3988.55,4052.63,3899.89,4010.86
2023-07-15,Power,4020.88,4122.72,3940.93,3972.34
2023-07-31,Power,3978.7,4383.79,3973.1,4379.71
2023-08-15,Power,4384.16,4392.26,4161.1,4198.74
2023-08-31,Power,4198.68,4449.08,4183.99,4351.96
2023-09-15,Power,4344.21,4834.39,4320.52,4623.86
2023-09-30,Power,4639.66,4703.6,4587.15,4659.6
2023-10-15,Power,4660.68,4660.68,4443.68,4537.9
2023-10-31,Power,4541.45,4605.98,4196.78,4431.42
2023-11-15,Power,4440.56,4674.84,4373.37,4638.52
2023-11-30,Power,4639.63,4978.64,4620.34,4920.85
2023-12-15,Power,4957.34,5815.25,4953.79,5781.63
2023-12-31,Power,5794.83,5869.23,5426.45,5818.64
2024-01-15,Power,5843.95,6134.1,5729.03,6103.23
2024-01-31,Power,6111.42,6345.66,5763.31,6317.35
2024-02-15,Power,6372.7,6636.84,6164.28,6556.48
2024-02-29,Power,6576.15,6710.99,6438.7,6589.5
2024-03-15,Power,6663.95,6862.82,6112.07,6373.04
2024-03-31,Power,6330.93,6740.88,6195.81,6701.74
2024-04-15,Power,6770.05,7162.94,6756.1,6926.06
2024-04-30,Power,6892.9,7258.92,6780.8,7220.06
2024-05-15,Power,7239.02,7510.57,6969.99,7492.85
2024-05-31,Power,7534.31,7870.53,7405.39,7699.46
2024-06-15,Power,8239.6,8339.88,6745.33,7901.16
2024-06-30,Power,7963.9,8054.34,7757.61,7954.5
2024-07-15,Power,7989.24,8178.92,7843.71,8097.05
2024-07-31,Power,8115.88,8458.05,7488.98,8442.07
2024-08-15,Power,8470.46,8532.23,8045.97,8083.97
2024-08-31,Power,8130.35,8372.13,8047.55,8231.68
2024-09-15,Power,8266.65,8283.16,7849.12,8212.19
2024-09-30,Power,8289.95,8795.65,8250.68,8651.98
2024-10-15,Power,8680.89,8724.2,7988.23,8418.75
2024-10-31,Power,8429.96,8493.64,7626.74,7829.12
2024-11-15,Power,7902.29,7995.99,7298.18,7308.9
2024-11-30,Power,7408.83,7549.84,7081.16,7489.62
2024-12-15,Power,7495.55,7695.13,7435.63,7574.08
2024-12-31,Power,7596.66,7621.61,6881.98,6965.68
2025-01-15,Power,6989.85,7123.43,6135.32,6537.51
2025-01-31,Power,6662.18,6808.75,6095.7,6553.29
2025-02-15,Power,6622.99,6689.04,5776.62,5826.15
2025-02-28,Power,5777.77,6168.42,5676.44,5763.16
2020-01-15,Realty,2288.83,2467.07,2229.94,2454.48
2020-01-31,Realty,2459.31,2542.84,2442.34,2526.17
2020-02-15,Realty,2530.5,2564.83,2271.79,2357.82
2020-02-29,Realty,2367.56,2374.88,2088.36,2123.91
2020-03-15,Realty,2148.95,2184.91,1583.96,1792.95
2020-03-31,Realty,1756.02,1756.02,1275.24,1353.65
2020-04-15,Realty,1332.5,1447.64,1295.77,1381.28
2020-04-30,Realty,1375.15,1484.7,1363.27,1450.37
